track_id,x,z,y,speed,rpm,orientation,rotation_x,rotation_z,rotation_y
365,-115.77516174316406,91.59284210205078,12.31379508972168,57.86918640136719,6159.0,0.904475212097168,0.004647759720683098,0.003606321755796671,-0.42648565769195557
365,-115.03185272216797,90.97518920898438,12.311646461486816,57.919307708740234,6160.0,0.9044005870819092,0.0047128573060035706,0.0036921699065715075,-0.426642507314682
365,-114.2874755859375,90.35746002197266,12.309592247009277,57.96971893310547,6160.0,0.9043506979942322,0.004823049996048212,0.0037943338975310326,-0.42674604058265686
365,-113.54206848144531,89.73957824707031,12.307798385620117,58.02090072631836,6159.0,0.9043140411376953,0.005032175220549107,0.003838619217276573,-0.426821231842041
365,-112.79572296142578,89.12149810791016,12.306157112121582,58.07109069824219,6158.0,0.9042937755584717,0.005311975255608559,0.003752580378204584,-0.426861435174942
365,-112.0484390258789,88.50322723388672,12.304702758789062,58.123443603515625,6157.0,0.9042857885360718,0.0055685280822217464,0.0036027939058840275,-0.42687663435935974
365,-111.30032348632812,87.88473510742188,12.303326606750488,58.172115325927734,6158.0,0.9042896032333374,0.00580843398347497,0.003370210062712431,-0.4268665611743927
365,-110.55137634277344,87.26605224609375,12.301989555358887,58.219547271728516,6161.0,0.9042982459068298,0.005974445957690477,0.0031746395397931337,-0.42684751749038696
365,-109.80169677734375,86.64714050292969,12.300488471984863,58.26369857788086,6167.0,0.9043166637420654,0.006036162376403809,0.0030447468161582947,-0.4268086850643158
365,-109.05126953125,86.02799224853516,12.298969268798828,58.30747604370117,6173.0,0.9043352603912354,0.006033629644662142,0.0030562770552933216,-0.42676955461502075
365,-108.30015563964844,85.4085464477539,12.297351837158203,58.35249328613281,6178.0,0.9043593406677246,0.0059064412489533424,0.0032093673944473267,-0.4267188310623169
365,-107.54845428466797,84.7887191772461,12.295469284057617,58.3963623046875,6185.0,0.9043806791305542,0.005720289424061775,0.00331677938811481,-0.4266754984855652
365,-106.79615783691406,84.16849517822266,12.293437004089355,58.44090270996094,6191.0,0.9044044613838196,0.005482525564730167,0.003453460056334734,-0.42662689089775085
365,-106.0433120727539,83.54780578613281,12.291133880615234,58.4842529296875,6199.0,0.904424786567688,0.005235733464360237,0.003541416022926569,-0.42658618092536926
365,-105.28992462158203,82.9266357421875,12.288687705993652,58.52793502807617,6206.0,0.9044450521469116,0.0050425780937075615,0.0035545246209949255,-0.42654556035995483
365,-104.53599548339844,82.30488586425781,12.28632640838623,58.57050704956055,6213.0,0.9044582843780518,0.005051363259553909,0.0034518453758209944,-0.42651844024658203
365,-103.78145599365234,81.68262481689453,12.284089088439941,58.61455535888672,6219.0,0.9044708609580994,0.005180316511541605,0.0033413865603506565,-0.4264912009239197
365,-103.02623748779297,81.05987548828125,12.282086372375488,58.66297912597656,6221.0,0.9044732451438904,0.00535735534504056,0.003261655569076538,-0.4264838695526123
365,-102.27035522460938,80.4365463256836,12.280523300170898,58.71574020385742,6219.0,0.9044738411903381,0.005563967861235142,0.003107737749814987,-0.42648130655288696
365,-101.51374816894531,79.81278228759766,12.279413223266602,58.76362991333008,6219.0,0.9044603109359741,0.005793800577521324,0.0030610726680606604,-0.42650720477104187
365,-100.75640106201172,79.18866729736328,12.278647422790527,58.811126708984375,6220.0,0.9044318199157715,0.0059659662656486034,0.0031341707799583673,-0.4265649616718292
365,-99.99836730957031,78.56420135498047,12.278097152709961,58.85761642456055,6223.0,0.9043684601783752,0.006121102720499039,0.003162851557135582,-0.42669686675071716
365,-99.2395248413086,77.93952178955078,12.277812957763672,58.90593719482422,6224.0,0.9042720198631287,0.006158595904707909,0.003245536470785737,-0.42690014839172363
365,-98.47984313964844,77.31471252441406,12.277795791625977,58.95077133178711,6228.0,0.9041246771812439,0.006170440930873156,0.003341321600601077,-0.42721137404441833
365,-97.71924591064453,76.6899185180664,12.277904510498047,58.99156951904297,6235.0,0.9039233922958374,0.006153086666017771,0.0035350765101611614,-0.42763540148735046
365,-96.95769500732422,76.06519317626953,12.278085708618164,59.03392791748047,6241.0,0.903663694858551,0.006128487177193165,0.0036869761534035206,-0.42818284034729004
