track_id,x,z,y,speed,rpm
346,-233.83714294433594,-266.4551086425781,-6.4333648681640625,0.0,2009.0
346,-233.83714294433594,-266.4551086425781,-6.4333648681640625,0.0,2009.0
346,-233.83714294433594,-266.4551086425781,-6.4333648681640625,0.0,2009.0
346,-233.83714294433594,-266.4551086425781,-6.4333648681640625,0.0,2009.0
346,-233.83714294433594,-266.4551086425781,-6.4333648681640625,0.0,2010.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2011.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2012.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2013.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2014.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2016.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2017.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2019.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2020.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2022.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2023.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2024.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2026.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2028.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2030.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2032.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2034.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2036.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2037.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2038.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2039.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2040.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2041.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2041.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2042.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2043.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2043.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2044.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2046.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2047.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2048.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2049.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2050.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2050.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2051.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2051.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2052.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2052.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2053.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2054.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2055.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2056.0
346,-233.83714294433594,-266.4551086425781,-6.433364391326904,0.0,2057.0
346,-233.83714294433594,-266.4551086425781,-6.433363914489746,0.0,2057.0
346,-233.83714294433594,-266.4551086425781,-6.433363914489746,0.0,2057.0
346,-233.83714294433594,-266.4551086425781,-6.433363914489746,0.0,2057.0
346,-233.83714294433594,-266.4551086425781,-6.433363914489746,0.0,2057.0
346,-233.83714294433594,-266.4551086425781,-6.433363914489746,0.0,2057.0
346,-233.83714294433594,-266.4551086425781,-6.433363914489746,0.0,2057.0
346,-233.83714294433594,-266.4551086425781,-6.433363914489746,0.0,2057.0
346,-233.83714294433594,-266.4551086425781,-6.433363914489746,0.0,2057.0
346,-233.83714294433594,-266.4551086425781,-6.433363914489746,0.0,2057.0
346,-233.83714294433594,-266.4551086425781,-6.433363914489746,0.0,2057.0
346,-233.83714294433594,-266.4551086425781,-6.433363914489746,0.0,2058.0
346,-233.83714294433594,-266.4551086425781,-6.433363914489746,0.0,2059.0
346,-233.83714294433594,-266.4551086425781,-6.433363914489746,0.0,2059.0
346,-233.83714294433594,-266.4551086425781,-6.433363914489746,0.0,2060.0
346,-233.83714294433594,-266.4551086425781,-6.433363914489746,0.0,2060.0
346,-233.83714294433594,-266.4551086425781,-6.433363914489746,0.0,2061.0
346,-233.83714294433594,-266.4551086425781,-6.433363914489746,0.0,2062.0
346,-233.83714294433594,-266.4551086425781,-6.433363914489746,0.0,2063.0
346,-233.83714294433594,-266.4551086425781,-6.433363914489746,0.0,2064.0
346,-233.83714294433594,-266.4551086425781,-6.433363914489746,0.0,2065.0
346,-233.83714294433594,-266.4551086425781,-6.433363914489746,0.0,2066.0
346,-233.83714294433594,-266.4551086425781,-6.433363914489746,0.0,2066.0
346,-233.83714294433594,-266.4551086425781,-6.433363914489746,0.0,2067.0
346,-233.83714294433594,-266.4551086425781,-6.433363914489746,0.0,2068.0
346,-233.83714294433594,-266.4551086425781,-6.433363914489746,0.0,2069.0
346,-233.83714294433594,-266.4551086425781,-6.433363914489746,0.0,2070.0
