track_id,x,z,y
119,-208.32443237304688,-3.8796067237854,9.75123405456543
119,-208.6168670654297,-3.9797515869140634,9.741189002990724
119,-208.9110107421875,-4.080499172210693,9.730878829956056
119,-209.20704650878903,-4.181686878204346,9.720378875732422
119,-209.5048675537109,-4.283576488494873,9.709647178649902
119,-209.80450439453125,-4.386204719543457,9.698741912841797
119,-210.1061248779297,-4.489549160003662,9.68771266937256
119,-210.40972900390625,-4.593567848205566,9.6764554977417
119,-210.71533203125,-4.698278427124023,9.66490077972412
119,-211.0229949951172,-4.803679466247559,9.653122901916504
119,-211.33282470703125,-4.909764766693115,9.641189575195312
119,-211.6448211669922,-5.016601085662842,9.62904930114746
119,-211.95904541015625,-5.124231815338135,9.616808891296388
119,-212.27554321289065,-5.232665061950684,9.604527473449709
119,-212.5942840576172,-5.341877460479736,9.592185020446776
119,-212.91522216796875,-5.45180082321167,9.579656600952148
119,-213.2384033203125,-5.5624308586120605,9.567004203796388
119,-213.5639190673828,-5.67383337020874,9.554298400878906
119,-213.8917388916016,-5.7860541343688965,9.541522979736328
119,-214.221923828125,-5.899119853973389,9.528664588928224
119,-214.55447387695312,-6.01306676864624,9.515677452087402
119,-214.88943481445312,-6.127852439880371,9.502591133117676
119,-215.22683715820312,-6.243443012237549,9.489431381225586
119,-215.5666961669922,-6.359869003295898,9.47617530822754
119,-215.9090118408203,-6.477123737335205,9.46282958984375
119,-216.2538299560547,-6.595238208770752,9.449502944946287
119,-216.60113525390625,-6.7141876220703125,9.43609619140625
119,-216.9508819580078,-6.833954334259033,9.422479629516602
119,-217.30308532714844,-6.954584121704102,9.408666610717772
119,-217.65782165527344,-7.076073169708252,9.3947172164917
119,-218.01499938964844,-7.198448181152344,9.380655288696287
119,-218.374755859375,-7.321703910827637,9.366530418395996
119,-218.737060546875,-7.44581413269043,9.352337837219238
119,-219.10179138183597,-7.570773601531982,9.33794116973877
119,-219.46893310546875,-7.69658088684082,9.323341369628906
119,-219.83848571777344,-7.823185443878174,9.308496475219728
119,-220.2105255126953,-7.950630664825439,9.293575286865234
119,-220.58506774902344,-8.078926086425781,9.27854061126709
119,-220.9620819091797,-8.20804214477539,9.263408660888672
119,-221.3414764404297,-8.338005065917969,9.248034477233888
119,-221.72329711914065,-8.468794822692871,9.232416152954102
119,-222.1075439453125,-8.600499153137207,9.216819763183594
119,-222.4942626953125,-8.73300552368164,9.201276779174805
119,-222.88336181640625,-8.866273880004883,9.185526847839355
119,-223.2748107910156,-9.000350952148438,9.169439315795898
119,-223.66848754882807,-9.13524341583252,9.152918815612791
119,-224.0644073486328,-9.270917892456056,9.135988235473633
119,-224.4625701904297,-9.407404899597168,9.118640899658203
119,-224.8629913330078,-9.544689178466797,9.100997924804688
